die_x,die_y,BinState
93,66,P
93,65,P
93,64,P
94,62,P
94,61,P
94,60,P
95,58,P
95,57,P
95,56,P
95,55,P
95,54,P
95,53,P
94,53,P
94,52,P
94,51,P
94,50,P
94,49,P
94,48,P
94,47,P
94,46,P
94,45,P
92,46,P
92,45,P
92,44,P
92,43,P
92,42,P
91,42,P
91,41,P
91,40,P
91,39,P
91,38,P
90,38,P
90,37,P
90,36,P
89,36,P
89,35,P
89,34,P
89,33,P
88,33,P
88,32,P
87,32,P
87,31,P
86,31,P
86,30,P
86,29,P
85,29,P
85,28,P
85,27,P
85,26,P
84,26,P
84,25,P
83,25,P
83,24,P
82,24,P
82,23,P
81,23,P
81,22,P
81,21,P
80,21,P
80,20,P
79,20,P
79,19,P
78,19,P
78,18,P
77,18,P
77,17,P
76,17,P
75,17,P
75,16,P
74,16,P
74,15,P
73,15,P
73,14,P
72,14,P
71,14,P
71,13,P
70,13,P
70,12,P
69,12,P
68,12,P
68,11,P
67,11,P
66,11,P
66,10,P
65,10,P
64,10,P
64,9,P
63,9,P
62,9,P
61,9,P
61,8,P
60,8,P
59,8,P
58,8,P
58,7,P
57,7,P
56,7,P
55,7,P
54,7,P
54,6,P
53,6,P
52,6,P
51,6,P
50,6,P
49,6,P
48,6,P
47,6,P
46,6,P
45,6,P
44,6,P
43,6,P
42,6,P
41,6,P
40,6,P
39,6,P
38,6,P
36,7,P
34,8,P
33,8,P
32,8,P
30,9,P
29,9,P
27,10,P
26,10,P
24,11,P
22,12,P
20,13,P
17,15,P
15,18,F
19,16,P
20,16,P
21,16,P
23,15,P
24,15,P
26,14,P
27,14,P
28,14,P
30,13,P
31,13,P
32,13,P
33,13,P
34,13,P
35,13,P
36,13,P
37,13,P
38,13,P
39,13,P
40,13,P
41,13,P
42,13,P
43,13,P
44,13,P
45,13,P
46,13,P
47,13,P
47,14,P
48,14,P
49,14,P
50,14,P
51,14,P
51,15,P
52,15,P
53,15,P
54,15,P
54,16,P
55,16,P
56,16,P
57,16,P
57,17,P
58,17,P
59,17,P
59,18,P
60,18,P
61,18,P
61,19,P
62,19,P
63,19,P
63,20,P
64,20,P
64,21,P
65,21,P
66,21,P
66,22,P
67,22,P
67,23,P
68,23,P
68,24,P
69,24,P
70,24,P
70,25,P
71,25,P
71,26,P
72,26,P
72,27,P
73,27,P
73,28,P
73,29,P
72,31,P
72,32,P
73,32,P
73,33,P
74,33,P
74,34,P
75,34,P
75,35,P
76,35,P
76,36,P
76,37,P
76,38,P
77,38,P
77,39,P
77,40,P
78,40,P
78,41,P
79,41,P
79,42,P
80,42,P
80,43,P
80,44,P
80,45,P
81,45,P
81,46,P
81,47,P
82,47,P
82,48,P
82,49,P
82,50,P
82,51,P
82,52,P
82,53,P
82,54,P
82,55,P
82,56,P
83,56,P
83,57,P
83,58,P
83,59,P
83,60,P
83,61,P
83,62,P
83,63,P
83,64,P
83,65,P
83,66,P
83,67,P
83,68,P
83,69,P
83,70,P
82,72,P
82,73,P
82,74,P
81,76,P
80,78,P
92,69,P
87,72,P
84,76,P
84,77,P
84,78,P
84,79,P
85,79,P
85,80,P
85,81,P
75,89,P
75,87,P
74,87,P
74,86,P
77,82,P
77,81,P
77,80,P
78,78,P
78,77,P
78,76,P
79,74,P
79,73,P
79,72,P
79,71,P
79,70,P
79,69,P
79,68,P
79,67,P
79,66,P
79,65,P
79,64,P
79,63,P
79,62,P
79,61,P
79,60,P
78,60,P
78,59,P
78,58,P
78,57,P
78,56,P
77,56,P
77,55,P
77,54,P
77,53,P
77,52,P
76,52,P
76,51,P
76,50,P
75,50,P
74,50,P
74,49,P
74,48,P
73,48,P
73,47,P
72,47,P
72,46,P
71,46,P
71,45,P
71,44,P
70,44,P
70,43,F
70,42,P
70,41,P
69,41,P
69,40,P
68,40,P
68,39,P
67,39,P
67,38,P
66,38,P
66,37,P
66,36,P
65,36,P
65,35,P
64,35,P
64,34,P
63,34,P
63,33,P
62,33,P
62,32,P
61,32,P
60,32,P
60,31,P
59,31,P
59,30,P
58,30,P
58,29,P
57,29,P
56,29,P
56,28,P
55,28,P
55,27,P
54,27,P
53,27,P
53,26,P
52,26,P
51,26,P
51,25,P
50,25,P
49,25,P
49,24,P
48,24,P
47,24,P
46,24,P
46,23,P
45,23,P
44,23,P
43,23,P
43,22,P
42,22,P
41,22,P
40,22,P
39,22,P
39,21,P
38,21,P
37,21,P
36,21,P
35,21,P
34,21,P
33,21,P
32,21,P
31,21,P
30,21,P
29,21,P
28,21,P
27,21,P
26,21,P
25,21,P
24,21,P
23,21,P
